Cuối thế kỷ XIX vai trò của hệ tư tưởng phong kiến ở Việt Nam trước các nhiệm vụ lịch sử: | Đã lỗi thời.
Theo Hồ Chí Minh, toàn bộ những sáng tạo và phát minh của con người nhằm thích ứng nhu cầu đời sống và sinh tồn tức là: | văn hoá.
Hồ Chí Minh cho rằng con người mới XHCN phải có: | Đạo đức cách mạng
Theo tư tưởng Hồ Chí Minh, văn hoá có chức năng: | Tất cả các phương án.
Hồ Chí Minh cho rằng: Người cách mạng phải có (....) làm nền tảng, mới hoàn thành được nhiệm vụ cách mạng vẻ vang. | Đạo đức cách mạng
Lần đầu tiên Hồ Chí Minh đưa ra định nghĩa về văn hóa là vào thời gian nào? | Tháng 8-1943
Nguyên tắc xây dựng đạo đức mới theo tư tưởng Hồ Chí Minh gồm: | 4 nguyên tắc.
Đối với Hồ Chí Minh, dân ta tài năng, trí tuệ và sáng tạo, họ biết giải quyết nhiều vấn đề một cách giản đơn, mau chóng, đầy đủ, mà những người tài giỏi, những đoàn thể to lớn,.... | nghĩ mãi không ra.
Đâu là nguyên tắc xây dựng đạo đức mới trong tư tưởng Hồ Chí Minh? | Xây đi đôi với chống
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: | Hạnh phúc
Theo Hồ Chí Minh, CNXH là một xã hội phát triển cao về: | Văn hóa, đạo đức
Hồ Chí Minh quan niệm mục tiêu cao nhất của chủ nghĩa xã hội là: | Nâng cao đời sống nhân dân.
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: CNXH là một chế độ xã hội có nền kinh tế phát triển cao, dựa trên lực lượng sản xuất hiện đại và chế độ công hữu về các tư liệu sản xuất chủ yêú, nhằm không ngừng nâng cao đời sống vật chất và tinh thần cho nhân dân, trước hết là cho (........) | Nhân dân lao động
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: Nền kinh tế mà chúng ta xây dựng cần phải phát triển toàn diện các ngành, với những ngành chủ yếu là: công-nông-thương nghiệp; trong đó, (...........) là hai cái chân của nền kinh tế nước nhà. | Công nghiệp và nông nghiệp
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: Tiến lên CNXH là bước phát triển tất yếu ở Việt Nam sau khi nước nhà đã giành được (.........) theo con đường cách mạng vô sản. | Độc lập
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: Kẻ thù muốn đè bẹp ta về kinh tế thay bằng (...........), vì vậy ta phải phát triển kinh tế. | Quân sự
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: Chỉ có chủ nghĩa cộng sản mới cứu (........), đem lại cho mọi người không phân biệt chủng tộc và nguồn gốc sự tự do, bình đẳng, bác ái, đoàn kết, ấm no trên quả đất, việc làm cho mọi người và vì mọi người, niềm vui, hòa bình, hạnh phúc... | Nhân loại
Điều mong muốn cuối cùng của Chủ tịch Hồ Chí Minh là: | Toàn Đảng, toàn dân ta đoàn kết phấn đấu, xây dựng một nước Việt Nam hòa bình, thống nhất, độc lập, dân chủ và giàu mạnh, góp phần xứng đáng vào sự nghiệp cách mạng thế giới.
Mục tiêu giải phóng dân tộc theo con đường cách mạng vô sản mà Hồ Chí Minh đã lựa chọn cho dân tộc Việt Nam là: | Tất cả các phương án trả lời đều đúng
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: CNXH là công trình tập thể của (...........), do nhân dân tự xây dựng lấy dưới sự lãnh đạo của Đảng. | Nhân dân
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: CNXH là một xã hội (..........) ; làm nhiều hưởng nhiều, làm ít hưởng ít, không làm thì không được hưởng; các dân tộc đều bình đẳng, miền núi được giúp đỡ để tiến kịp miền xuôi. | Công bằng, hợp lý
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: Động lực văn hoá, khoa học, giáo dục là động lực (......) không thể thiếu của chủ nghĩa xã hội. | Tinh thần
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: Trong sự nghiệp xây dựng CNXH, chúng ta chưa có kinh nghiệm, nhất là về lĩnh vực (...........). Nó là công việc hết sức mới mẻ nên ta phải vừa làm, vừa học và có thể có vấp váp, thiếu sót. | Kinh tế
Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: Dân là chủ thì Chính phủ phải là (............ ). Nếu Chính phủ làm hại dân thì dân có quyền đuổi Chính phủ. | Đầy tớ
Hồ Chí Minh khẳng định: Nếu không có nhân dân thì Chính phủ không đủ lực lượng. Nếu không có Chính phủ, thì nhân dân không ai: | Dẫn đường
Theo Hồ Chí Minh, dân làm chủ, nghĩa là đề cập đến: | Năng lực và trách nhiệm của dân
Bảo đảm dân chủ trong việc xác lập quyền lực của nhân dân. | Tất cả các phương án
Theo Hồ Chí Minh, có bảo đảm và phát huy .........ở trong Đảng thì mới bảo đảm được dân chủ của toàn xã hội. | Dân chủ
Theo Hồ Chí Minh, giải phóng phụ nữ để .......... với nam giới, thực sự tham gia tích cực vào các công việc xã hội. | Bình đẳng
Điền vào chỗ trống để hoàn thiện câu nói sau của Hồ Chí Minh: | Dân chủ
Theo Hồ Chí Minh, tất cả các cơ quan Nhà nước phải dựa vào nhân dân, liên hệ chặt chẽ với nhân dân, lắng nghe ý kiến và chịu sự: | Kiểm soát của nhân dân
Hồ Chí Minh cho rằng: | dân cử ra và do dân tổ chức nên
Theo Hồ Chí Minh, dân chủ thể hiện trên lĩnh vực nào là quan trọng nhất, nổi bật nhất ? | Chính trị
Theo Hồ Chí Minh, Nhà nước do dân tạo ra và nhân dân tham gia quản lý là ở chỗ: toàn bộ công dân bầu ra .........., cơ quan quyền lực cao nhất của Nhà nước, cơ quan duy nhất có quyền lập pháp. | Quốc hội
 Theo Hồ Chí Minh, dân chủ thể hiện ở việc bảo đảm quyền: | Con người, quyền công dân
 Điền vào chỗ trống để hoàn thiện câu nói sau của Hồ Chí Minh: | Dân
 Hiến pháp năm 1959 đã tiếp tục khẳng định quan điểm gì trong tư tưởng Hồ Chí Minh? | Bảo đảm dân chủ trong việc xác lập quyền lực của nhân dân.
 Theo Hồ Chí Minh, việc gì có hại cho dân dù nhỏ mấy cũng cố gắng: | Tránh
 Điền vào chỗ trống để hoàn thiện câu nói sau của Hồ Chí Minh: | Chính quyền
 Ái Quốc đọc Sơ thảo lần thứ nhất những luận cương về vấn đề dân tộc và vấn đề thuộc địa của Lênin vào thời gian nào? | 7/1920
Một trong những giá trị của văn hoá phương Tây được Hồ Chí Minh tiếp thu để hình thành tư tưởng của mình là: | Tư tưởng văn hoá dân chủ và cách mạng của cách mạng Pháp và cách mạng Mỹ.
Nguyễn Ái Quốc tham dự Đại hội Tua, tán thành Quốc tế 3, tham gia thành lập Đảng Cộng sản Pháp thời gian nào? | 12/1920
Theo Hồ Chí Minh, học chủ nghĩa Mác - Lênin nghĩa là gì? | Để sống với nhau có tình, có nghĩa.
Nguyễn Tất Thành ra đi tìm đường cứu nước tại bến cảng Nhà Rồng - Sài Gòn vào thời gian nào? | 5/6/1911
Hồ Chí Minh hoạt động tại Thái Lan vào thời gian nào? | 1928-1929
Vấn đề dân tộc trong tư tưởng Hồ Chí Minh là sự kết hợp nhuần nhuyễn: | Tất cả các phương án.
 Theo Hồ Chí Minh, cách mạng giải phóng dân tộc muốn thắng lợi: | Phải đi theo con đường cách mạng vô sản.
 Cách mạng giải phóng dân tộc muốn giành được thắng lợi cần phải: | Tiến hành chủ động và sáng tạo.
 Điền vào chỗ trống theo tư tưởng Hồ Chí Minh: Nền văn hoá XHCN là một nền văn hoá lấy (.............) của đồng bào làm cơ sở. | Hạnh phúc
 Điền vào chỗ trống để hoàn thiện câu nói sau của Hồ Chí Minh: Nước ta là nước (..........) , địa vị cao nhất là dân, vì dân là chủ. | Dân chủ
 Hồ Chí Minh cho rằng: Muốn khẳng định là một nước dân chủ thì phải có cấu tạo quyền lực xã hội mà ở đó người dân, cả trực tiếp, cả gián tiếp qua dân chủ đại diện, một hệ thống chính trị do: | dân cử ra và do dân tổ chức nên
 Điền vào chỗ trống để hoàn thiện câu nói sau của Hồ Chí Minh: Nước Việt Nam là một nước dân chủ cộng hoà, tất cả quyền bính trong nước là của toàn thể nhân dân Việt Nam, không phân biệt nòi giống, gái trai, giàu nghèo, giai cấp, tôn giáo; những việc quan hệ đến vận mệnh quốc gia sẽ đưa ra toàn (............) phúc quyết | Dân
Điền vào chỗ trống để hoàn thiện câu nói sau của Hồ Chí Minh: Đối với nông dân, nông dân thật sự nắm (.........), nông dân phải được giải phóng. | Chính quyền
